text,platform,language,label,label_id,language_base,clean_text,clean_text_uncased
I love this video! 😡,YouTube,English,neutral,0,English,I love this video INTENT ANGER,i love this video intent anger
This is absolutely disgusting behavior.,X,English,hate,2,English,This is absolutely disgusting behavior,this is absolutely disgusting behavior
You are so stupid,Facebook,English,offensive,1,English,You are so stupid,you are so stupid
"Namaste, kaise ho aap?",X,Hindi_Romanized,neutral,0,Hindi,Namaste kaise ho aap,namaste kaise ho aap
India mein sab thik hai.,Facebook,Hindi_Romanized,neutral,0,Hindi,India mein sab theek hai,india mein sab theek hai
Tum bohot bure ho.,X,Hindi_Romanized,offensive,1,Hindi,tum bahut bure ho,tum bahut bure ho
Ye video bakwas hai 😡,YouTube,Hindi_Romanized,hate,2,Hindi,yeh video bakwas hai INTENT ANGER,yeh video bakwas hai intent anger
Vanakkam nanba,X,Tamil_Romanized,neutral,0,Tamil,Vanakkam nanba,vanakkam nanba
Ni oru loosu,Facebook,Tamil_Romanized,offensive,1,Tamil,Ni oru loosu,ni oru loosu
Indha aalu oru fraud.,YouTube,Tamil_Romanized,hate,2,Tamil,Indha aalu oru fraud,indha aalu oru fraud
नमस्ते भारत,X,Hindi,neutral,0,Hindi,नमस त भ रत,नमस त भ रत
வணக்கம்,X,Tamil,neutral,0,Tamil,வணக கம,வணக கம
Thank you for sharing this!,YouTube,English,neutral,0,English,Thank you for sharing this,thank you for sharing this
Great work everyone 😊,Facebook,English,neutral,0,English,Great work everyone smiling face with smiling eyes,great work everyone smiling face with smiling eyes
This is completely unacceptable,X,English,offensive,1,English,This is completely unacceptable,this is completely unacceptable
You people are disgusting,Facebook,English,hate,2,English,You people are disgusting,you people are disgusting
Stop spreading lies,YouTube,English,offensive,1,English,Stop spreading lies,stop spreading lies
"Beautiful message, loved it",Instagram,English,neutral,0,English,Beautiful message loved it,beautiful message loved it
Kya baat hai! Bohot accha,X,Hindi_Romanized,neutral,0,Hindi,kya baat hai bahut achha,kya baat hai bahut achha
Tu pagal hai kya,Facebook,Hindi_Romanized,offensive,1,Hindi,Tu pagal hai kya,tu pagal hai kya
Tum log sab gande ho,YouTube,Hindi_Romanized,hate,2,Hindi,tum log sab gande ho,tum log sab gande ho
Dhanyavaad mere dost,Instagram,Hindi_Romanized,neutral,0,Hindi,Dhanyavaad mere dost,dhanyavaad mere dost
Bakwaas mat karo yaar,X,Hindi_Romanized,offensive,1,Hindi,Bakwaas mat karo yaar,bakwaas mat karo yaar
"India jeeta, khushi hui",Facebook,Hindi_Romanized,neutral,0,Hindi,India jeeta khushi hui,india jeeta khushi hui
"Super nanba, romba nalla iruku",Instagram,Tamil_Romanized,neutral,0,Tamil,Super nanba romba nalla iruku,super nanba romba nalla iruku
Enna da idhu? Waste,X,Tamil_Romanized,offensive,1,Tamil,Enna da idhu Waste,enna da idhu waste
Nee oru naayi,Facebook,Tamil_Romanized,hate,2,Tamil,Nee oru naayi,nee oru naayi
Romba nalla padam nanba,YouTube,Tamil_Romanized,neutral,0,Tamil,Romba nalla padam nanba,romba nalla padam nanba
Poda panni,X,Tamil_Romanized,hate,2,Tamil,Poda panni,poda panni
நன்றி நண்பா,Instagram,Hindi,neutral,0,Hindi,நன ற நண ப,நன ற நண ப
यह बहुत अच्छा है,YouTube,Hindi,neutral,0,Hindi,यह बह त अच छ ह,यह बह त अच छ ह
तुम बहुत गंदे हो,Facebook,Hindi,hate,2,Hindi,त म बह त ग द ह,त म बह त ग द ह
तुम झूठे हो,X,Hindi,offensive,1,Hindi,त म झ ठ ह,त म झ ठ ह
बहुत बढ़िया काम,Instagram,Hindi,neutral,0,Hindi,बह त बढ य क म,बह त बढ य क म
நீ ஒரு முட்டாள்,Facebook,Tamil,offensive,1,Tamil,ந ஒர ம ட ட ள,ந ஒர ம ட ட ள
அருமையான பதிவு,YouTube,Tamil,neutral,0,Tamil,அர ம ய ன பத வ,அர ம ய ன பத வ
இது மிகவும் மோசம்,X,Tamil,hate,2,Tamil,இத ம கவ ம ம சம,இத ம கவ ம ம சம
நன்றி நண்பரே,Instagram,Tamil,neutral,0,Tamil,நன ற நண பர,நன ற நண பர
Absolutely love this content,YouTube,English,neutral,0,English,Absolutely love this content,absolutely love this content
Your community is trash,X,English,hate,2,English,Your community is trash,your community is trash
Please stop being rude,Facebook,English,offensive,1,English,Please stop being rude,please stop being rude
Mera desh meri pehchaan,Instagram,Hindi_Romanized,neutral,0,Hindi,Mera desh meri pehchaan,mera desh meri pehchaan
Chup kar tu,X,Hindi_Romanized,offensive,1,Hindi,Chup kar tu,chup kar tu
Achha lag raha hai dekh ke,YouTube,Hindi_Romanized,neutral,0,Hindi,Achha lag raha hai dekh ke,achha lag raha hai dekh ke
"Seri nanba, correct dhaan",Instagram,Tamil_Romanized,neutral,0,Tamil,Seri nanba correct dhaan,seri nanba correct dhaan
Thevadiya payale,Facebook,Tamil_Romanized,hate,2,Tamil,Thevadiya payale,thevadiya payale
Nice explanation brother,YouTube,English,neutral,0,English,Nice explanation brother,nice explanation brother
सुप्रभात दोस्तों,Instagram,Hindi,neutral,0,Hindi,स प रभ त द स त,स प रभ त द स त
அனைவருக்கும் வாழ்த்துக்கள்,Instagram,Tamil,neutral,0,Tamil,அன வர க க ம வ ழ த த க கள,அன வர க க ம வ ழ த த க கள
