text,platform,language,label
"I love this video! 😡",YouTube,English,Neutral
"This is absolutely disgusting behavior.",X,English,Hate
"You are so stupid",Facebook,English,Offensive
"Namaste, kaise ho aap?",X,Hindi_Romanized,Neutral
"India mein sab thik hai.",Facebook,Hindi_Romanized,Neutral
"Tum bohot bure ho.",X,Hindi_Romanized,Offensive
"Ye video bakwas hai 😡",YouTube,Hindi_Romanized,Hate
"Vanakkam nanba",X,Tamil_Romanized,Neutral
"Ni oru loosu",Facebook,Tamil_Romanized,Offensive
"Indha aalu oru fraud.",YouTube,Tamil_Romanized,Hate
"नमस्ते भारत",X,Hindi,Neutral
"வணக்கம்",X,Tamil,Neutral
"Thank you for sharing this!",YouTube,English,Neutral
"Great work everyone 😊",Facebook,English,Neutral
"This is completely unacceptable",X,English,Offensive
"You people are disgusting",Facebook,English,Hate
"Stop spreading lies",YouTube,English,Offensive
"Beautiful message, loved it",Instagram,English,Neutral
"Kya baat hai! Bohot accha",X,Hindi_Romanized,Neutral
"Tu pagal hai kya",Facebook,Hindi_Romanized,Offensive
"Tum log sab gande ho",YouTube,Hindi_Romanized,Hate
"Dhanyavaad mere dost",Instagram,Hindi_Romanized,Neutral
"Bakwaas mat karo yaar",X,Hindi_Romanized,Offensive
"India jeeta, khushi hui",Facebook,Hindi_Romanized,Neutral
"Super nanba, romba nalla iruku",Instagram,Tamil_Romanized,Neutral
"Enna da idhu? Waste",X,Tamil_Romanized,Offensive
"Nee oru naayi",Facebook,Tamil_Romanized,Hate
"Romba nalla padam nanba",YouTube,Tamil_Romanized,Neutral
"Poda panni",X,Tamil_Romanized,Hate
"நன்றி நண்பா",Instagram,Hindi,Neutral
"यह बहुत अच्छा है",YouTube,Hindi,Neutral
"तुम बहुत गंदे हो",Facebook,Hindi,Hate
"तुम झूठे हो",X,Hindi,Offensive
"बहुत बढ़िया काम",Instagram,Hindi,Neutral
"நீ ஒரு முட்டாள்",Facebook,Tamil,Offensive
"அருமையான பதிவு",YouTube,Tamil,Neutral
"இது மிகவும் மோசம்",X,Tamil,Hate
"நன்றி நண்பரே",Instagram,Tamil,Neutral
"Absolutely love this content",YouTube,English,Neutral
"Your community is trash",X,English,Hate
"Please stop being rude",Facebook,English,Offensive
"Mera desh meri pehchaan",Instagram,Hindi_Romanized,Neutral
"Chup kar tu",X,Hindi_Romanized,Offensive
"Achha lag raha hai dekh ke",YouTube,Hindi_Romanized,Neutral
"Seri nanba, correct dhaan",Instagram,Tamil_Romanized,Neutral
"Thevadiya payale",Facebook,Tamil_Romanized,Hate
"Nice explanation brother",YouTube,English,Neutral
"सुप्रभात दोस्तों",Instagram,Hindi,Neutral
"அனைவருக்கும் வாழ்த்துக்கள்",Instagram,Tamil,Neutral
